Iteration	Y	var_1	var_2	var_3	var_4	var_5
1.0	-7.16376293451	4.60740536126	-5.2081494893	1.25469803911	0.0	-1.0
2.0	-10.7825594727	3.26395398725	-9.98633581066	-3.07392173204	0.0	5.0
3.0	3.97928820041	-2.77432731162	-0.389179341467	-0.709947361748	2.0	-1.0
4.0	1.90372869563	0.894092312268	-5.99829930883	-2.80627837706	2.0	-1.0
5.0	10.9000187463	8.96246466817	-7.70703706561	-6.66688545384	-2.0	5.0
6.0	0.734671718339	7.18993630601	5.27048702337	-4.19413165336	-2.0	-1.0
7.0	-11.8479604983	1.01154277951	-4.53634311348	-5.1218298246	-2.0	5.0
8.0	-1.39000980123	-5.01058302282	-9.04732949368	0.854095947781	0.0	-1.0
9.0	-1.55670205773	6.20696381753	-6.15376274862	1.88425202364	2.0	5.0
10.0	1.08879312601	-2.5349225687	6.26000782326	1.53901685943	2.0	5.0
11.0	4.26405510611	-9.09203077793	-6.04306317011	2.37517680058	-2.0	-1.0
12.0	-7.67298450665	-0.295006199998	4.75883615858	-4.23769250573	0.0	-1.0
13.0	7.10343724517	-7.25357200528	6.53124161869	2.39790105039	2.0	5.0
14.0	3.51387924821	-3.80874881751	7.2274752886	1.82668444912	2.0	5.0
15.0	-5.92937027262	0.289159691282	-6.01814529871	-3.39385001915	-2.0	5.0
16.0	-6.51445349719	0.578311357482	5.08693674263	0.0753713285807	-2.0	5.0
17.0	-4.62758421707	-2.01951628363	-9.91838716384	-3.42369730446	0.0	-1.0
18.0	5.29923167769	8.03417657702	4.87229967138	0.372914889333	0.0	-1.0
19.0	-5.71881088457	9.43360758748	-6.23129649312	-3.8681783304	-2.0	5.0
20.0	7.1265844283	-1.24592675889	1.54281858898	-1.93023892082	2.0	-1.0
21.0	-11.2683937091	1.60818027533	-5.17467566402	-5.12124364554	-2.0	5.0
